"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010655_2",0.525412080461697,0.825689529840229,"STD-Sohrabvand-2006",4
"CD010655_10",0.329247812504656,0.608308528793576,"STD-Supakatisant-2012",3
"CD010655_1",0.310684174871634,0.962905827137561,"STD-Sohrabvand-2006",6
"CD010660_12",0.0284375978989386,0.122804684043635,"STD-Dombrowski-2004",7
"CD010660_13",0.827607544972568,0.928402979341651,"STD-Powell-2011",3
"CD010666_4",1.43284380183905e-05,0.000194412281845989,"STD-Bobat-2005",8
"CD010671_3",5.65145393927171e-08,0.000306313834339045,"STD-Sherman-2011",9
"CD010671_7",0.625960101556992,0.868980545347506,"STD-Nambi-2014",3
"CD010671_6",0.00111750185055979,0.0180836335360945,"STD-Tilbrook-2011",6
"CD010675_4",0.00143140467068174,0.248675045827409,"STD-Lim-2012",3
"CD010678_1",0.259383513911414,0.897069621720067,"STD-Karbwang-1995-THA",18
"CD010678_4",0.174288068101917,0.227484822124017,"STD-Adam-2002-SDN",3
"CD010678_10",0.399758187128971,0.700231179921308,"STD-van-Hensbroek-1996-GMB",13
"CD010678_11",0.385970834890591,0.854259929407006,"STD-Murphy-1996-KEN",8
"CD010682_1",0.740627108026404,0.831870218585078,"STD-Li-2005",3
"CD010682_4",0.00126951837165674,0.00170678684206683,"STD-Li-2005",5
"CD010683_1",0.997423571909992,0.997423571909992,"STD-Lodge-2005",32
"CD010683_4",0.236450804414615,0.468322634250418,"STD-Ni-2013",26
"CD010683_2",0.239152465311037,0.340136104455572,"STD-Doklestic-2012",38
"CD010684_1",0.327476325893362,0.417250653977211,"STD-Peacock-1988",6
"CD010684_5",0.452496348339199,0.977279740576326,"STD-Fife-1997",4
"CD010684_3",0.340583849772757,0.731392888683312,"STD-Corey-1982a",5
"CD010692_1",0.226236203939601,0.334143020264255,"STD-Gimbel-2003",3
"CD010692_2",0.0180682544985704,0.0597755701375572,"STD-Hanna-2008",5
"CD010692_3",0.0275494841510739,0.05907111272551,"STD-Watson-2003",4
"CD010692_4",0.0484489942855573,0.0887762395664261,"STD-Gimbel-2003",5
"CD010692_5",0.147983936891312,0.840514816245987,"STD-Gimbel-2003",3
"CD010692_6",0.000268405169190267,0.000419780020356732,"STD-Hanna-2008",12
"CD010694_1",0.00434124294626308,0.0939693759481451,"STD-Coccheri-2002",3
"CD010694_2",0.0709177748012817,0.155339882333461,"STD-Scondotto-1999",3
"CD010696_1",3.73498477367219e-05,3.73498477367219e-05,"STD-Otto-2008",12
"CD010696_2",1.66744636995014e-09,1.28157781886603e-05,"STD-Mira-2003",11
"CD010696_3",0.993678420017377,0.993678420017377,"STD-Otto-2008",6
