REV_OUTCOME,p-value,r-value,excluded_study,num_of_studie,diff,p_sig,r_sig,sig_to_insig
CD003039_3,0.0,0.0,STD-Maher-1994,38,0.0,1,1,0
CD003039_4,0.0,0.0,STD-Maher-1994,32,0.0,1,1,0
CD003039_8,1e-05,0.01875,STD-Maher-1994,8,0.01874,1,1,0
CD003039_9,0.0,0.0,STD-Maher-1994,6,0.0,1,1,0
CD003039_2,0.00557,0.02111,STD-Riikonen-1994,6,0.01554,1,1,0
CD003044_1,8e-05,0.00036,STD-Sharma-2009,32,0.00028,1,1,0
CD003044_2,0.00011999999999999999,0.00044,STD-Sharma-2009,30,0.00032,1,1,0
CD003044_3,0.0,0.0,STD-Mittal-2011,44,0.0,1,1,0
CD003044_4,0.0,0.0,STD-Agrawal-2012,34,0.0,1,1,0
CD003044_6,0.00067,0.0013,STD-Sharma-2009,28,0.00063,1,1,0
CD003044_10,0.0,0.0,STD-Agrawal-2012,37,0.0,1,1,0
CD003044_11,0.0,0.0,STD-Agrawal-2012,61,0.0,1,1,0
CD003044_5,0.0,1e-05,STD-Agrawal-2012,39,1e-05,1,1,0
CD003045_6,0.03469,0.80481,STD-CSL-1986,6,0.77012,1,0,1
CD003046_1,0.0,0.0001,STD-Chen-2006,17,0.0001,1,1,0
CD003048_2,0.0,0.0,STD-Buydens-1996,30,0.0,1,1,0
CD003053_2,0.03808,0.0446,STD-Trolle-2007,14,0.006520000000000001,1,1,0
CD003053_3,0.010759999999999999,0.041710000000000004,STD-Karimzadeh-2007,24,0.03095,1,1,0
CD003053_5,0.0012699999999999999,0.0019199999999999998,STD-Hwu-2005,28,0.00065,1,1,0
CD003057_8,0.03405,0.055810000000000005,STD-Fischer-1983,7,0.021759999999999998,1,0,1
CD003057_26,0.02449,0.30495,STD-Neiman-1985,4,0.28046,1,0,1
CD003057_43,1e-05,0.00442,STD-Barnes-1985,4,0.00441,1,1,0
CD003057_44,5e-05,0.16983,STD-Barnes-1985,6,0.16978,1,0,1
CD003057_45,0.028939999999999997,0.31906,STD-Fischer-1983,8,0.29012,1,0,1
CD003057_46,0.01576,0.44001,STD-Fischer-1983,8,0.42425,1,0,1
CD003062_2,0.038189999999999995,0.038189999999999995,STD-Sarman-1989b,6,0.0,1,1,0
CD003062_6,0.0,0.7246100000000001,STD-Gray-2004,3,0.7246100000000001,1,0,1
CD003063_2,0.04347,0.22949,STD-Vermont-Oxford-2003,6,0.18602,1,0,1
CD003063_4,0.02997,0.20548000000000002,STD-NICHD-2002,4,0.17551,1,0,1
CD003063_11,0.01626,0.01626,STD-NICHD-2002,4,0.0,1,1,0
CD003065_1,0.020569999999999998,0.02315,STD-Hoellering-2008,5,0.0025800000000000003,1,1,0
CD003065_3,0.0005099999999999999,0.00064,STD-Kalyn-2003,8,0.00013000000000000002,1,1,0
CD003065_4,0.00132,0.0028699999999999997,STD-Kalyn-2003,8,0.00155,1,1,0
CD003071_5,0.03393,0.24636,STD-Capdevila-1999,3,0.21243,1,0,1
CD003071_6,0.034069999999999996,0.06097999999999999,STD-Hommeril-1994,4,0.026910000000000003,1,0,1
CD003073_1,0.01237,0.01511,STD-Hasselgren-1984,23,0.00274,1,1,0
CD003078_1,0.0,0.0,STD-Monteon-1998,20,0.0,1,1,0
CD003078_3,0.0,0.0,STD-Monteon-1998,25,0.0,1,1,0
CD003079_3,0.004520000000000001,0.00686,STD-Lorazepam-2001_x002c_-RO-_x0026_-USA,8,0.00234,1,1,0
CD003079_15,0.04922,0.10764000000000001,STD-Midazolam-2006_x002c_-AU,38,0.05842000000000001,1,0,1
CD003079_2,0.00047000000000000004,0.00066,STD-Lorazepam-1991_x002c_-USA,38,0.00018999999999999998,1,1,0
CD003079_9,0.0,0.6702100000000001,STD-Lorazepam-2004_x002c_-IN,4,0.6702100000000001,1,0,1
CD003079_5,0.0,0.16177,STD-Clonazepam-2003_x002c_-CHN,3,0.16177,1,0,1
CD003080_1,0.0,0.0,STD-Drake_x002d_Washington,46,0.0,1,1,0
CD003082_1,0.00031,0.00031,STD-Serafetinides-1972,13,0.0,1,1,0
CD003082_5,0.0,0.0,STD-Kane-2010,34,0.0,1,1,0
CD003082_16,0.03575,0.08891,STD-Kane-2002,34,0.05316,1,0,1
CD003082_18,0.00199,0.0107,STD-Selman-1976,8,0.008709999999999999,1,1,0
CD003082_19,0.01067,0.0107,STD-Selman-1976,8,2.9999999999998805e-05,1,1,0
CD003082_20,0.00033,0.00044,STD-Garcia-2009,13,0.00011,1,1,0
CD003082_21,0.00011999999999999999,0.00011999999999999999,STD-Nishikawa-1982,14,0.0,1,1,0
CD003082_23,0.01884,0.05078,STD-Garcia-2009,22,0.031939999999999996,1,0,1
CD003092_7,0.01598,0.1753,STD-Fenton-1985,22,0.15932000000000002,1,0,1
CD003092_8,0.00445,0.2612,STD-Quinn-1981,12,0.25675,1,0,1
CD003092_11,0.00822,0.019,STD-Sherman-2001,12,0.01078,1,1,0
CD003094_4,0.01187,0.01951,STD-Zhou-2007,6,0.007640000000000001,1,1,0
CD003094_14,0.0054,0.015719999999999998,STD-Kaisi-1988,14,0.010320000000000001,1,1,0
CD003094_16,0.01217,0.03595,STD-Zhou-2007,14,0.023780000000000003,1,1,0
CD003098_3,7e-05,0.00016,STD-Mathews-1976,17,9e-05,1,1,0
CD003098_7,0.0071400000000000005,0.0071400000000000005,STD-Beard-1975,7,0.0,1,1,0
CD003098_11,0.00074,0.0007700000000000001,STD-Massil-1988,4,2.9999999999999997e-05,1,1,0
CD003098_21,0.0017399999999999998,0.0017399999999999998,STD-Massil-1988,4,0.0,1,1,0
CD003098_13,0.00227,0.00237,STD-Mathews-1976,11,0.0001,1,1,0
CD003098_1,0.0,0.0,STD-Westergaard-1983a,31,0.0,1,1,0
CD003098_2,0.0,0.0,STD-Mathews-1976,11,0.0,1,1,0
CD003098_10,0.0,0.0,STD-Somell-1987,3,0.0,1,1,0
CD003099_1,0.00312,0.00312,STD-Garry-2000,5,0.0,1,1,0
CD003099_5,0.01844,0.01844,STD-Garry-2000,4,0.0,1,1,0
CD003099_4,0.00053,0.00053,STD-Garry-2000,6,0.0,1,1,0
CD003101_8,0.01619,0.060020000000000004,STD-Glanville-2002,43,0.04383,1,0,1
CD003101_9,0.00022,0.00101,STD-O_x0027_Brien-1995,26,0.00079,1,1,0
CD003103_7,0.0,0.0,STD-Bell-1993,3,0.0,1,1,0
CD003103_11,0.01133,0.01292,STD-Maclennan-1986,6,0.00159,1,1,0
CD003106_5,0.0,0.9069799999999999,STD-Mesbah-2003,3,0.9069799999999999,1,0,1
CD003108_1,0.0,0.0,STD-Anglaret-1999,21,0.0,1,1,0
CD003108_5,0.00587,0.01239,STD-Anglaret-1999,12,0.006520000000000001,1,1,0
CD003115_3,0.0,0.0,STD-NCT00486811,15,0.0,1,1,0
CD003115_4,0.0,0.0,STD-Afilalo-2010,25,0.0,1,1,0
CD003119_1,0.00139,0.00223,STD-Blaha-1989,8,0.00084,1,1,0
CD003119_3,0.03651,0.0413,STD-Hindmarch-1991,8,0.00479,1,1,0
CD003120_5,0.00837,0.01659,STD-Napryeyenko-2005,6,0.00822,1,1,0
CD003120_35,0.0469,0.08924,STD-Kanowski-1996,4,0.042339999999999996,1,0,1
CD003123_1,0.00782,0.00829,STD-Menon-1995,15,0.00047000000000000004,1,1,0
CD003123_14,0.0091,0.20565999999999998,STD-Khashabi-2005a,6,0.19655999999999998,1,0,1
CD003123_16,0.025509999999999998,0.15057,STD-Plint-2009a,5,0.12506,1,0,1
CD003133_21,0.042339999999999996,0.66009,STD-Laviolette-1999,7,0.61775,1,0,1
CD003133_23,0.03982,0.06984,STD-Laviolette-1999,10,0.030019999999999998,1,0,1
CD003135_29,0.00315,0.00732,STD-Noonan-1995,4,0.00417,1,1,0
CD003135_30,0.03333,0.07595,STD-Noonan-1995,4,0.04262,1,0,1
CD003135_33,0.00015,0.00016999999999999999,STD-Lumry-2006,7,2e-05,1,1,0
CD003135_34,0.02888,0.0429,STD-Lumry-2006,6,0.01402,1,1,0
CD003135_35,4e-05,7e-05,STD-Lumry-2006,8,2.9999999999999997e-05,1,1,0
CD003135_36,0.00022999999999999998,0.00061,STD-Pearlman-1997,11,0.00037999999999999997,1,1,0
CD003135_37,0.04817,0.058870000000000006,STD-Gross-1998,3,0.0107,1,0,1
CD003135_38,0.0001,0.00015,STD-Wolfe-1996,9,5e-05,1,1,0
CD003135_41,0.039060000000000004,0.050589999999999996,STD-Lumry-2006,10,0.01153,1,0,1
CD003135_42,0.01944,0.052579999999999995,STD-Lumry-2006,10,0.033139999999999996,1,0,1
CD003135_43,9e-05,0.00022999999999999998,STD-Pearlman-1997,11,0.00014,1,1,0
CD003135_45,0.007259999999999999,0.026719999999999997,STD-Chervinsky-1994,14,0.019459999999999998,1,1,0
CD003135_20,0.0071,0.0071,STD-Wasserman-1996,6,0.0,1,1,0
CD003135_21,0.00263,0.00748,STD-Busse-2001,11,0.00485,1,1,0
CD003135_23,0.011059999999999999,0.01548,STD-Allen-1998,4,0.00442,1,1,0
CD003135_24,0.0,0.0,STD-Nathan-2006,23,0.0,1,1,0
CD003135_25,0.00149,0.00149,STD-Wolfe-2000-SABA,16,0.0,1,1,0
CD003135_17,0.0029100000000000003,0.00337,STD-Sheffer-1996,15,0.00045999999999999996,1,1,0
CD003135_18,0.00082,0.0019,STD-Chuchalin-2008,22,0.00108,1,1,0
CD003135_1,9e-05,0.00011999999999999999,STD-Galant-1996,13,2.9999999999999997e-05,1,1,0
CD003137_1,0.013030000000000002,0.0388,STD-Ringdal-2003,16,0.025769999999999998,1,1,0
CD003137_30,0.00883,0.31606999999999996,STD-Ilowite-2004,10,0.30724,1,0,1
CD003137_2,0.0151,0.10912999999999999,STD-Ringdal-2003,8,0.09402999999999999,1,0,1
CD003137_3,0.0,0.00044,STD-Ringdal-2003,3,0.00044,1,1,0
CD003139_3,0.0026899999999999997,0.0038399999999999997,STD-Dutch-Intergp-2003,11,0.00115,1,1,0
CD003144_5,0.00112,0.00835,STD-Fingerhut-1994,11,0.0072299999999999994,1,1,0
CD003145_1,0.00885,0.03712,STD-Lacy-2002,72,0.02827,1,1,0
CD003145_2,0.00033999999999999997,0.00456,STD-Braga-2002-b,23,0.004220000000000001,1,1,0
CD003145_5,0.0007599999999999999,0.021580000000000002,STD-Winslow-2002,14,0.020819999999999998,1,1,0
CD003146_1,0.00324,0.03437,STD-STOP-1998,3,0.03113,1,1,0
CD003146_7,0.04674,0.06348,STD-SIT-2014,6,0.01674,1,0,1
CD003154_9,0.013969999999999998,0.11585999999999999,STD-_x0039_202_x002f_Wilcock-2002,6,0.10189,1,0,1
CD003155_14,0.02434,0.06448999999999999,STD-Morris-1998,10,0.04015,1,0,1
CD003155_15,0.01315,0.03235,STD-Morris-1998,10,0.0192,1,1,0
CD003155_17,0.02136,0.02373,STD-Jann-1999,10,0.00237,1,1,0
CD003155_27,0.0009,0.0068200000000000005,STD-Morris-1998,10,0.00592,1,1,0
CD003155_30,0.02737,0.02737,STD-Raskind-1999,7,0.0,1,1,0
CD003159_1,0.00489,0.01256,STD-Battaglia-1989,15,0.007670000000000001,1,1,0
CD003162_1,0.03428,0.09909,STD-Amor-Dorado-2012,9,0.06481,1,0,1
CD003162_2,0.01634,0.01634,STD-Xie-2012,8,0.0,1,1,0
CD003167_3,0.0001,0.00043,STD-EGPS-2005,7,0.00033,1,1,0
CD003169_6,0.0,0.0,STD-Zhao-2010,10,0.0,1,1,0
CD003169_8,0.0,0.0,STD-Palmer-2008,10,0.0,1,1,0
CD003169_16,0.0012900000000000001,0.15877,STD-Wilkins-2013,4,0.15748,1,0,1
CD003169_19,0.0,0.0,STD-Rossetti-1994,7,0.0,1,1,0
CD003169_20,0.0,0.0,STD-Haaskjold-1998a,8,0.0,1,1,0
CD003169_2,0.027589999999999996,0.46548,STD-el-Maghraby-1992,4,0.43788999999999995,1,0,1
CD003175_1,0.00124,0.00318,STD-NSGO_x002c_-MaNGO-and-EORTC,15,0.0019399999999999999,1,1,0
CD003175_2,0.0009599999999999999,0.0009599999999999999,STD-NSGO_x002c_-MaNGO-and-EORTC,22,0.0,1,1,0
CD003175_3,1e-05,2.9999999999999997e-05,STD-NSGO_x002c_-MaNGO-and-EORTC,25,2e-05,1,1,0
CD003175_4,0.011609999999999999,0.053360000000000005,STD-GOG-122,8,0.04175,1,0,1
CD003175_6,0.01896,0.01896,STD-NSGO-_x0026_-EORTC,4,0.0,1,1,0
CD003177_1,1e-05,9e-05,STD-GISSI_x002d_P-1999,47,8e-05,1,1,0
CD003177_2,0.0,0.0,STD-Sacks-_x0028_TOHP-1_x0029_-1994,73,0.0,1,1,0
CD003177_7,0.00175,0.14215999999999998,STD-Singh-1997,13,0.14040999999999998,1,0,1
CD003180_2,0.00236,0.0033200000000000005,STD-Dubbert--2002,20,0.0009599999999999999,1,1,0
CD003181_3,0.00072,0.00224,STD-Fabbri-2000,22,0.0015199999999999999,1,1,0
CD003181_4,0.00131,0.00227,STD-Fabbri-2000,22,0.0009599999999999999,1,1,0
CD003181_9,0.026989999999999997,0.06501,STD-Fabbri-2000,14,0.03802,1,0,1
CD003181_15,0.009059999999999999,0.02516,STD-Bonnand-1996,13,0.0161,1,1,0
CD003183_1,0.0,0.0,STD-Yu-1995,14,0.0,1,1,0
CD003188_4,0.00088,0.01596,STD-Berenson-1998a,9,0.015080000000000001,1,1,0
CD003188_5,0.0,0.0,STD-Berenson-1998a,14,0.0,1,1,0
CD003188_7,0.0,1e-05,STD-Lahtinen-1992,14,1e-05,1,1,0
CD003188_1,0.00011,0.0016,STD-Berenson-1998a,15,0.00149,1,1,0
CD003188_2,0.0,0.0,STD-Berenson-1998a,15,0.0,1,1,0
CD003189_4,0.01813,0.02126,STD-_x00d6_sby-CHOP-2003,29,0.00313,1,1,0
CD003189_5,0.00268,0.00539,STD-Gisselbrecht-1997,9,0.00271,1,1,0
CD003189_12,0.04007,0.09542,STD-Zinzani-1997,62,0.05535,1,0,1
CD003189_16,0.027839999999999997,0.04311,STD-Zinzani-1997,36,0.015269999999999999,1,1,0
CD003189_2,0.00011,0.00053,STD-_x00d6_sby-CHOP-2003,38,0.00042,1,1,0
CD003193_3,0.013880000000000002,0.01697,STD-Park-2002,4,0.00309,1,1,0
CD003195_8,0.02914,0.36074,STD-Khullar-2000,5,0.3316,1,0,1
CD003196_4,0.028610000000000003,0.24018,STD-Bowden-2000,6,0.21156999999999998,1,0,1
CD003196_5,0.0184,0.35369,STD-Bowden-2000,4,0.33529000000000003,1,0,1
CD003196_6,0.04648,0.18674000000000002,STD-Bowden-2000,4,0.14026,1,0,1
CD003197_5,0.0,0.0,STD-Lecrubier_x0028_100_x0029_,71,0.0,1,1,0
CD003197_6,0.0,0.0,STD-Rickels_x0028_70_x0029_,87,0.0,1,1,0
CD003197_7,0.0,0.0,STD-Rampello_x0028_100_x0029_,37,0.0,1,1,0
CD003200_14,0.00212,0.00212,STD-White-2011,4,0.0,1,1,0
CD003200_15,0.00053,0.0163,STD-Powell-2001,3,0.01577,1,1,0
CD003212_1,0.0,0.0,STD-Gao-2010,44,0.0,1,1,0
CD003212_2,0.01976,0.042980000000000004,STD-Kahramaner-2014,10,0.023219999999999998,1,1,0
CD003212_3,0.0,0.0,STD-Gao-2010,34,0.0,1,1,0
CD003212_10,0.026330000000000003,0.029060000000000002,STD-Gao-2010,10,0.0027300000000000002,1,1,0
CD003220_2,0.00722,0.013009999999999999,STD-Moretti-2008,7,0.00579,1,1,0
CD003220_7,0.0238,0.04361,STD-Moretti-2008,14,0.019809999999999998,1,1,0
CD003229_1,0.0,0.0,STD-Planchon-1990,37,0.0,1,1,0
CD003229_5,2.9999999999999997e-05,0.0001,STD-Widmer-1990,20,7e-05,1,1,0
CD003229_6,0.0,0.0,STD-Vanscheidt-2002a,12,0.0,1,1,0
CD003229_8,0.0,0.0,STD-Pulvertaft-1983,51,0.0,1,1,0
CD003229_10,0.0,0.0,STD-Vanscheidt-2002a,38,0.0,1,1,0
CD003229_11,0.02169,0.1468,STD-Rabe-2011,4,0.12511,1,0,1
CD003229_13,0.0,0.0,STD-Pulvertaft-1983,43,0.0,1,1,0
CD003229_15,0.00244,0.00536,STD-Rabe-2011,91,0.00292,1,1,0
CD003229_20,0.0,0.0,STD-Gilly-1994,17,0.0,1,1,0
CD003229_22,0.0,0.0,STD-Pulvertaft-1983,55,0.0,1,1,0
CD003229_16,0.0,0.0,STD-Pulvertaft-1983,38,0.0,1,1,0
CD003232_4,0.01598,0.09842000000000001,STD-MEPEX-Study-2007,29,0.08244,1,0,1
CD003232_6,0.010709999999999999,0.07702,STD-Guillevin-1997,9,0.06631000000000001,1,0,1
CD003232_2,0.00011,0.0351,STD-CYCLOPS-Study-2004,10,0.03499,1,1,0
CD003233_4,0.0028699999999999997,0.0471,STD-Cattran-1999,3,0.04423,1,1,0
CD003240_2,0.00512,0.00512,STD-Meltzoff-1966,5,0.0,1,1,0
CD003242_4,0.00198,0.09677000000000001,STD-IST-1997,7,0.09479,1,0,1
CD003246_12,0.03622,0.03946,STD-Wagner-1989,19,0.00324,1,1,0
CD003246_14,0.01006,0.06225,STD-Hannah-1996,16,0.05219,1,0,1
CD003246_31,0.0061600000000000005,0.006940000000000001,STD-Hannah-1996,8,0.00078,1,1,0
CD003246_35,0.014459999999999999,0.02433,STD-Alcalay-1996,6,0.00987,1,1,0
CD003246_18,0.0072299999999999994,0.01068,STD-Papageorgiou-1992,24,0.00345,1,1,0
CD003248_1,0.00183,0.014459999999999999,STD-Mercer-2006,27,0.012629999999999999,1,1,0
CD003248_7,0.01839,0.34531999999999996,STD-Nelle-1998,3,0.32693,1,0,1
CD003248_15,0.01102,0.021,STD-Hofmeyr-1988,10,0.00998,1,1,0
CD003248_19,0.009009999999999999,0.05111,STD-Mercer-2003,4,0.0421,1,0,1
CD003248_20,0.00877,0.041319999999999996,STD-Hosono-2008,7,0.03255,1,1,0
CD003249_3,0.038,0.39003000000000004,STD-Zuberi-2008,3,0.35203,1,0,1
CD003249_7,0.015780000000000002,0.01617,STD-Blum-2010,4,0.00039000000000000097,1,1,0
CD003249_9,0.02419,0.03782,STD-Winikoff-2010,6,0.013630000000000001,1,1,0
CD003249_20,0.011640000000000001,0.2959,STD-Blum-2010,3,0.28426,1,0,1
CD003250_3,0.0017100000000000001,0.0017100000000000001,STD-Saleh-1975,16,0.0,1,1,0
CD003250_7,0.0,0.0,STD-Saleh-1975,6,0.0,1,1,0
CD003250_13,0.03709,0.09087999999999999,STD-Kennedy-1982,7,0.05379,1,0,1
CD003250_14,0.0,0.0,STD-Thompson-1987,3,0.0,1,1,0
CD003250_19,0.0,0.0,STD-Orhue-1995,4,0.0,1,1,0
CD003250_23,0.0,0.0,STD-Saleh-1975,6,0.0,1,1,0
CD003252_5,0.02785,0.04797,STD-CEMAT-1998,4,0.02012,1,1,0
CD003262_1,0.0,0.0,STD-Thiboutot-2003b,9,0.0,1,1,0
CD003262_2,0.0,0.0,STD-Thiboutot-2003a,7,0.0,1,1,0
CD003263_2,0.00201,0.00374,STD-Yones-2007,7,0.00173,1,1,0
CD003265_1,0.00021,0.00021,STD-Tyreman-1986,14,0.0,1,1,0
CD003265_2,0.0,0.00021,STD-Tyreman-1986,14,0.00021,1,1,0
CD003265_3,0.0,0.00053,STD-Tyreman-1986,13,0.00053,1,1,0
CD003265_4,1e-05,0.00116,STD-Tyreman-1986,11,0.00115,1,1,0
CD003265_5,8e-05,0.029210000000000003,STD-Tyreman-1986,4,0.02913,1,1,0
CD003266_8,0.028630000000000003,0.6983199999999999,STD-Roth-1994,4,0.66969,1,0,1
CD003274_24,0.0,0.0,STD-Essen_x002d_Zandvliet-1992,33,0.0,1,1,0
CD003274_25,0.0,0.0,STD-Essen_x002d_Zandvliet-1992,17,0.0,1,1,0
CD003274_12,0.0012900000000000001,0.07326,STD-Shapiro-1998a,6,0.07197,1,0,1
CD003281_3,0.0,0.0,STD-El_x002d_Deeb-2011,52,0.0,1,1,0
CD003289_1,0.00011,0.00025,STD-Hollis-2005,26,0.00014,1,1,0
CD003289_2,0.00133,0.00135,STD-Hollis-2005,11,2.00000000000001e-05,1,1,0
CD003292_3,0.04678,0.31006,STD-Mintz-1996,3,0.26328,1,0,1
CD003292_4,0.044910000000000005,0.044910000000000005,STD-Vecht-1993,11,0.0,1,1,0
CD003293_1,0.00677,0.15925,STD-Borden-1987,8,0.15248,1,0,1
CD003293_2,0.01407,0.02186,STD-Omura-1983,6,0.007790000000000001,1,1,0
CD003295_1,0.006529999999999999,0.0073,STD-Lim-1993,10,0.0007700000000000001,1,1,0
CD003298_4,0.020630000000000003,0.22760999999999998,STD-Ghavimi-1982,4,0.20698000000000003,1,0,1
CD003311_1,0.0,0.0,STD-NICHD-Study-2005,30,0.0,1,1,0
CD003311_2,0.011859999999999999,0.10017999999999999,STD-Cool-Cap-Study-2005,6,0.08832000000000001,1,0,1
CD003311_5,0.001,0.00581,STD-TOBY-Study-2009,7,0.00481,1,1,0
CD003311_14,1e-05,1e-05,STD-Cool-Cap-Study-2005,31,0.0,1,1,0
CD003311_25,2.9999999999999997e-05,4e-05,STD-Zhou-2010,27,1e-05,1,1,0
CD003311_30,0.00335,0.00487,STD-Zhou-2010,14,0.0015199999999999999,1,1,0
CD003311_31,0.01796,0.02315,STD-NICHD-Study-2005,12,0.00519,1,1,0
CD003311_33,0.03695,0.09129,STD-Zhou-2010,7,0.05434,1,0,1
CD003313_1,0.0,0.0,STD-Dagoglu-1995,10,0.0,1,1,0
CD003316_1,0.025269999999999997,0.05582,STD-Langhammer-2007,8,0.03055,1,0,1
CD003320_2,0.03178,0.059879999999999996,STD-Bultitude-1972,19,0.0281,1,0,1
CD003327_4,0.00313,0.01001,STD-Cuschieri-1999,83,0.00688,1,1,0
CD003327_6,0.0,0.0,STD-Suc-1998,76,0.0,1,1,0
CD003328_2,0.022119999999999997,0.13848,STD-Douglas-1976,5,0.11635999999999999,1,0,1
CD003331_4,0.025889999999999996,0.08308,STD-Belardinelli-2012,12,0.05719,1,0,1
CD003334_1,0.0093,0.04601,STD-ERBAC-1997,14,0.03671,1,1,0
CD003334_2,0.02168,0.4412,STD-DART-1997,12,0.41952,1,0,1
CD003334_4,0.0,0.00915,STD-COBRA-2000,9,0.00915,1,1,0
CD003334_5,0.0071200000000000005,0.032889999999999996,STD-DART-1997,5,0.025769999999999998,1,1,0
CD003334_6,0.00815,0.14645999999999998,STD-COBRA-2000,4,0.13831,1,0,1
CD003336_1,0.00144,0.13529000000000002,STD-Griffith-1952,5,0.13385,1,0,1
CD003344_1,0.027360000000000002,0.05732,STD-Smith-1984,71,0.029960000000000004,1,0,1
CD003344_2,0.02411,0.03891,STD-Smith-1984,48,0.0148,1,1,0
CD003344_5,0.0,0.0,STD-Smith-1984,37,0.0,1,1,0
CD003344_6,0.037489999999999996,0.07641,STD-Smith-1984,66,0.038919999999999996,1,0,1
CD003344_9,0.04453,0.08456,STD-Garc_x00ed_a-Ram_x00ed_rez-1999,97,0.04003,1,0,1
CD003344_11,0.03398,0.07645,STD-Garc_x00ed_a-Ram_x00ed_rez-1999,98,0.04247,1,0,1
CD003345_2,0.0,0.0,STD-Kieburtz-1998,24,0.0,1,1,0
CD003345_1,0.0,0.0,STD-Matsuoka-1997,14,0.0,1,1,0
CD003348_1,0.0011300000000000001,0.024130000000000002,STD-McGrath-1989,40,0.023,1,1,0
CD003357_1,0.03985,0.04822,STD-Reindollar-2010,9,0.00837,1,1,0
CD003363_6,0.011009999999999999,0.18586,STD-Cowan-2010,4,0.17485,1,0,1
CD003363_7,0.04697,0.16718,STD-Doyle-2010,3,0.12021,1,0,1
CD003366_1,0.01065,0.02575,STD-_x0033_04-Study-Group,47,0.0151,1,1,0
CD003366_9,0.01379,0.01966,STD-Sjostrom,29,0.00587,1,1,0
CD003366_10,0.00765,0.01075,STD-Sjostrom,28,0.0031,1,1,0
CD003368_2,0.046419999999999996,0.07824,STD-Cavalli-1983a,20,0.03182,1,0,1
CD003370_1,0.025939999999999998,0.05026,STD-Kaufmann-2000,29,0.024319999999999998,1,0,1
CD003372_2,0.0,0.0,STD-Joensuu-H-1998,72,0.0,1,1,0
CD003372_3,0.0,0.00018999999999999998,STD-Albain--KS-2004,58,0.00018999999999999998,1,1,0
CD003372_6,0.0,0.00011,STD-Heidemann-E-2004,20,0.00011,1,1,0
CD003374_5,0.00309,0.005220000000000001,STD-Kolaric-1989,20,0.00213,1,1,0
CD003374_7,0.00047000000000000004,0.0008,STD-Hu-2015,19,0.00033,1,1,0
CD003376_1,0.00043,0.00067,STD-Lyritis-1997,75,0.00023999999999999998,1,1,0
CD003380_1,0.0,0.0,STD-Garber-2009,73,0.0,1,1,0
CD003380_3,0.00233,0.01399,STD-Garber-2009,32,0.01166,1,1,0
CD003382_4,0.0,0.46893999999999997,STD-Evliyao_x011f_lu-2011,3,0.46893999999999997,1,0,1
CD003382_1,0.0,0.98726,STD-Evliyao_x011f_lu-2011,3,0.98726,1,0,1
CD003385_1,0.0,0.0,STD-Mitchell-1990,24,0.0,1,1,0
CD003388_5,0.032369999999999996,0.27254,STD-Echeburua-1997,6,0.24017,1,0,1
CD003388_18,0.02443,0.02443,STD-Neuner-2004,7,0.0,1,1,0
CD003388_16,0.0,0.0,STD-Resick-2002,19,0.0,1,1,0
CD003388_3,0.00016999999999999999,0.00033,STD-Galovski-2012,45,0.00016,1,1,0
CD003391_1,0.0,0.0,STD-Horne-1988,35,0.0,1,1,0
CD003391_2,0.0,0.0,STD-Wheadon-1992,28,0.0,1,1,0
CD003391_4,0.00534,0.040369999999999996,STD-Walsh-1984a,13,0.03503,1,1,0
CD003392_12,0.0326,0.0326,STD-Adewole-1993b,4,0.0,1,1,0
CD003392_23,8e-05,8e-05,STD-Damania-1992,8,0.0,1,1,0
CD003393_2,0.0,1e-05,STD-Larmon-2002,24,1e-05,1,1,0
CD003393_3,0.0024,0.004370000000000001,STD-Larmon-2002,6,0.00197,1,1,0
CD003393_4,0.022680000000000002,0.022680000000000002,STD-Larmon-2002,6,0.0,1,1,0
CD003393_11,0.03563,0.07959,STD-Tromans-1981,10,0.04396,1,0,1
CD003395_12,0.0138,0.05033,STD-Bancroft-2000,4,0.03653,1,0,1
CD003401_20,0.037160000000000006,0.22574,STD-Van-de-Velde-1999,7,0.18858,1,0,1
CD003401_8,0.0,0.0,STD-Vernis-2004,14,0.0,1,1,0
CD003402_15,0.02338,0.04033,STD-Europe-2000,23,0.01695,1,1,0
CD003402_16,0.02471,0.02471,STD-Europe-2000,6,0.0,1,1,0
CD003402_22,0.00016999999999999999,0.00016999999999999999,STD-Europe-2000,8,0.0,1,1,0
CD003402_6,0.00511,0.021419999999999998,STD-Europe-2000,32,0.016309999999999998,1,1,0
CD003407_10,0.0,0.0,STD-Pirker-2008,70,0.0,1,1,0
CD003410_1,0.0,0.0,STD-Haasen-2007,10,0.0,1,1,0
CD003410_3,0.00098,0.06645,STD-NAOMI-2009,3,0.06547,1,0,1
CD003412_1,0.0,0.0,STD-Geisse-2004,10,0.0,1,1,0
CD003416_1,1e-05,2e-05,STD-Thurin-2004,17,1e-05,1,1,0
CD003416_2,2.9999999999999997e-05,8e-05,STD-Martikainen-2001,17,5e-05,1,1,0
CD003416_3,7e-05,0.00013000000000000002,STD-Thurin-2004,13,5.9999999999999995e-05,1,1,0
CD003416_4,0.04413,0.86795,STD-Thurin-2004,4,0.8238200000000001,1,0,1
CD003421_3,8e-05,0.00146,STD-Frei-1987,8,0.0013800000000000002,1,1,0
CD003421_6,0.0,2.9999999999999997e-05,STD-Frei-1987,9,2.9999999999999997e-05,1,1,0
CD003423_2,0.0118,0.05775,STD-Cantekin-1991,5,0.04595,1,0,1
